@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric

@data
2564,'2017/04/09 16:41:54:443',22,0.656982,0.050598,-0.099976,-0.745544,-1.438579,0.055947,0.217608,1,-1
2565,'2017/04/09 16:41:54:460',22,0.656982,0.050659,-0.099976,-0.745544,-1.438593,0.055856,0.217689,1,-1
2566,'2017/04/09 16:41:54:482',22,0.656921,0.050537,-0.099915,-0.745605,-1.438404,0.05594,0.217438,1,-1
2567,'2017/04/09 16:41:54:503',22,0.657043,0.050537,-0.10022,-0.745483,-1.438729,0.056378,0.217898,1,-1
2568,'2017/04/09 16:41:54:520',22,0.657043,0.050659,-0.100525,-0.745422,-1.438751,0.056604,0.21852,1,-1
2569,'2017/04/09 16:41:54:542',22,0.65686,0.050659,-0.100647,-0.745544,-1.43826,0.056715,0.218714,1,-1
2570,'2017/04/09 16:41:54:563',22,0.656738,0.050781,-0.100769,-0.745605,-1.437957,0.056663,0.219065,1,-1
2571,'2017/04/09 16:41:54:580',22,0.656555,0.050842,-0.100891,-0.745789,-1.437491,0.056676,0.219352,1,-1
2572,'2017/04/09 16:41:54:604',22,0.656555,0.050903,-0.10083,-0.745789,-1.437504,0.056505,0.219339,1,-1
2573,'2017/04/09 16:41:54:624',22,0.656555,0.050964,-0.100769,-0.745789,-1.437517,0.056333,0.219326,1,-1
2574,'2017/04/09 16:41:54:639',22,0.656555,0.050903,-0.100891,-0.745789,-1.437505,0.056585,0.219434,1,-1
2575,'2017/04/09 16:41:54:670',22,0.656555,0.050903,-0.100891,-0.745728,-1.437494,0.056591,0.219421,1,-1
2576,'2017/04/09 16:41:54:683',22,0.656494,0.050964,-0.10083,-0.74585,-1.437358,0.056395,0.219426,1,-1
2577,'2017/04/09 16:41:54:701',22,0.656555,0.051025,-0.100891,-0.745728,-1.437522,0.056409,0.219584,1,-1
2578,'2017/04/09 16:41:54:722',22,0.65686,0.051147,-0.101013,-0.745483,-1.438366,0.056474,0.219917,1,-1
2579,'2017/04/09 16:41:54:743',22,0.656799,0.051208,-0.101013,-0.745544,-1.438219,0.056364,0.220004,1,-1
2580,'2017/04/09 16:41:54:760',22,0.656921,0.051331,-0.101135,-0.745361,-1.43856,0.056386,0.220331,1,-1
2581,'2017/04/09 16:41:54:782',22,0.657043,0.051392,-0.101379,-0.745239,-1.438898,0.056654,0.220777,1,-1
2582,'2017/04/09 16:41:54:803',22,0.657104,0.051514,-0.101501,-0.745117,-1.439078,0.056657,0.22111,1,-1
2583,'2017/04/09 16:41:54:819',22,0.657043,0.051575,-0.101624,-0.745178,-1.438933,0.056708,0.221386,1,-1
2584,'2017/04/09 16:41:54:842',22,0.657043,0.051331,-0.101929,-0.745178,-1.438881,0.057474,0.221533,1,-1
2585,'2017/04/09 16:41:54:864',22,0.657166,0.051208,-0.102173,-0.745056,-1.439178,0.058015,0.221736,1,-1
2586,'2017/04/09 16:41:54:881',22,0.657043,0.051331,-0.102112,-0.745117,-1.438873,0.057721,0.221804,1,-1
2587,'2017/04/09 16:41:54:902',22,0.657166,0.05127,-0.102295,-0.745056,-1.439193,0.058085,0.222006,1,-1
2588,'2017/04/09 16:41:54:924',22,0.657227,0.051208,-0.102539,-0.744934,-1.439333,0.058522,0.222284,1,-1
2589,'2017/04/09 16:41:54:946',22,0.657288,0.051208,-0.102478,-0.744873,-1.439493,0.058461,0.222184,1,-1
2590,'2017/04/09 16:41:54:962',22,0.657288,0.05127,-0.102478,-0.744873,-1.439507,0.05837,0.222265,1,-1
2591,'2017/04/09 16:41:54:983',22,0.657471,0.051331,-0.102478,-0.74469,-1.440003,0.058335,0.222328,1,-1
2592,'2017/04/09 16:41:55:000',22,0.65741,0.05127,-0.1026,-0.744751,-1.43983,0.058568,0.222441,1,-1
2593,'2017/04/09 16:41:55:022',22,0.657349,0.051392,-0.1026,-0.744812,-1.439697,0.058367,0.22261,1,-1
2594,'2017/04/09 16:41:55:044',22,0.657654,0.05127,-0.102844,-0.744507,-1.440477,0.058965,0.222794,1,-1
2595,'2017/04/09 16:41:55:059',22,0.657654,0.05127,-0.102844,-0.744507,-1.440477,0.058965,0.222794,1,-1
2596,'2017/04/09 16:41:55:082',22,0.657532,0.051147,-0.102905,-0.744568,-1.440117,0.059196,0.222726,1,-1
2597,'2017/04/09 16:41:55:103',22,0.657471,0.051086,-0.103088,-0.744629,-1.439945,0.059509,0.222934,1,-1
2598,'2017/04/09 16:41:55:119',22,0.657715,0.05127,-0.103271,-0.744446,-1.440643,0.059547,0.223449,1,-1
2599,'2017/04/09 16:41:55:142',22,0.657593,0.051514,-0.103333,-0.744507,-1.440368,0.059232,0.223868,1,-1
2600,'2017/04/09 16:41:55:164',22,0.657593,0.051758,-0.103394,-0.744446,-1.440415,0.058954,0.224275,1,-1
2601,'2017/04/09 16:41:55:179',22,0.657715,0.05188,-0.103516,-0.744324,-1.440767,0.058971,0.224614,1,-1
2602,'2017/04/09 16:41:55:202',22,0.657715,0.05188,-0.103516,-0.744324,-1.440767,0.058971,0.224614,1,-1
2603,'2017/04/09 16:41:55:224',22,0.657776,0.05188,-0.103271,-0.744324,-1.440935,0.058662,0.224242,1,-1
2604,'2017/04/09 16:41:55:239',22,0.657776,0.051758,-0.103271,-0.744324,-1.440907,0.058844,0.22408,1,-1
2605,'2017/04/09 16:41:55:262',22,0.658203,0.051758,-0.103149,-0.743958,-1.442042,0.058809,0.223861,1,-1
2606,'2017/04/09 16:41:55:284',22,0.658142,0.051758,-0.102905,-0.74408,-1.441888,0.058462,0.223502,1,-1
2607,'2017/04/09 16:41:55:299',22,0.658264,0.051636,-0.102844,-0.743896,-1.442171,0.058608,0.22322,1,-1
2608,'2017/04/09 16:41:55:322',22,0.658508,0.051453,-0.102966,-0.743713,-1.442784,0.059111,0.223153,1,-1
2609,'2017/04/09 16:41:55:344',22,0.658569,0.051514,-0.103088,-0.743652,-1.442961,0.0592,0.223417,1,-1
2610,'2017/04/09 16:41:55:359',22,0.658508,0.051636,-0.10321,-0.743652,-1.44282,0.059166,0.223762,1,-1
2611,'2017/04/09 16:41:55:382',22,0.658508,0.051697,-0.103455,-0.743652,-1.442837,0.059397,0.22422,1,-1
2612,'2017/04/09 16:41:55:413',22,0.65863,0.051697,-0.103638,-0.74353,-1.443161,0.059677,0.22449,1,-1
2613,'2017/04/09 16:41:55:419',22,0.65863,0.05188,-0.10376,-0.743469,-1.443195,0.059572,0.224911,1,-1
2614,'2017/04/09 16:41:55:442',22,0.658508,0.052063,-0.10376,-0.743591,-1.442916,0.059261,0.225167,1,-1
2615,'2017/04/09 16:41:55:464',22,0.658447,0.052124,-0.103882,-0.743591,-1.44276,0.059318,0.225431,1,-1
2616,'2017/04/09 16:41:55:479',22,0.658447,0.052185,-0.104004,-0.743591,-1.442776,0.059388,0.225701,1,-1
2617,'2017/04/09 16:41:55:502',22,0.658447,0.052185,-0.104004,-0.743591,-1.442776,0.059388,0.225701,1,-1
2618,'2017/04/09 16:41:55:524',22,0.658386,0.052124,-0.103943,-0.743652,-1.4426,0.05938,0.225531,1,-1
2619,'2017/04/09 16:41:55:539',22,0.658508,0.052002,-0.104126,-0.74353,-1.442896,0.059841,0.225639,1,-1
2620,'2017/04/09 16:41:55:561',22,0.658508,0.052063,-0.104065,-0.74353,-1.44291,0.05967,0.225626,1,-1
2621,'2017/04/09 16:41:55:584',22,0.658386,0.052246,-0.104004,-0.743652,-1.44263,0.059278,0.225788,1,-1
2622,'2017/04/09 16:41:55:600',22,0.658691,0.052429,-0.104065,-0.743347,-1.443479,0.059182,0.226096,1,-1
2623,'2017/04/09 16:41:55:622',22,0.658691,0.052429,-0.104004,-0.743347,-1.443478,0.059101,0.226002,1,-1
2624,'2017/04/09 16:41:55:644',22,0.658691,0.05249,-0.104004,-0.743347,-1.443492,0.05901,0.226083,1,-1
2625,'2017/04/09 16:41:55:660',22,0.658691,0.05249,-0.104004,-0.743347,-1.443492,0.05901,0.226083,1,-1
2626,'2017/04/09 16:41:55:681',22,0.658936,0.052612,-0.103882,-0.743164,-1.444174,0.058737,0.226045,1,-1
2627,'2017/04/09 16:41:55:705',22,0.658875,0.052673,-0.103882,-0.743164,-1.444017,0.058634,0.22612,1,-1
2628,'2017/04/09 16:41:55:720',22,0.658875,0.05249,-0.103882,-0.743164,-1.443974,0.058907,0.225876,1,-1
2629,'2017/04/09 16:41:55:741',22,0.659058,0.052368,-0.103943,-0.743042,-1.44444,0.05922,0.225801,1,-1
2630,'2017/04/09 16:41:55:764',22,0.658936,0.052246,-0.103943,-0.743164,-1.444089,0.059363,0.225651,1,-1
2631,'2017/04/09 16:41:55:780',22,0.659058,0.052307,-0.103882,-0.743042,-1.444425,0.05923,0.225626,1,-1
2632,'2017/04/09 16:41:55:801',22,0.659424,0.052429,-0.104004,-0.742737,-1.445432,0.059318,0.225953,1,-1
2633,'2017/04/09 16:41:55:824',22,0.659302,0.052734,-0.10376,-0.742798,-1.445168,0.058509,0.225983,1,-1
2634,'2017/04/09 16:41:55:840',22,0.659119,0.052979,-0.103638,-0.742981,-1.444741,0.057927,0.226138,1,-1
2635,'2017/04/09 16:41:55:862',22,0.659302,0.053101,-0.103638,-0.742798,-1.445253,0.057803,0.226283,1,-1
2636,'2017/04/09 16:41:55:884',22,0.659302,0.053101,-0.103577,-0.742798,-1.445252,0.057723,0.226189,1,-1
2637,'2017/04/09 16:41:59:236',23,0.662354,-0.198486,0.118286,-0.712708,-1.526649,0.126569,-0.450061,1,-1
2638,'2017/04/09 16:41:59:267',23,0.662292,-0.198303,0.118164,-0.712769,-1.526336,0.126507,-0.449585,1,-1
2639,'2017/04/09 16:41:59:281',23,0.662354,-0.198059,0.118042,-0.71283,-1.526306,0.126329,-0.449058,1,-1
2640,'2017/04/09 16:41:59:296',23,0.662537,-0.197754,0.117981,-0.712769,-1.526555,0.125905,-0.448547,1,-1
2641,'2017/04/09 16:41:59:318',23,0.662537,-0.197693,0.118042,-0.712769,-1.526507,0.125735,-0.448544,1,-1
2642,'2017/04/09 16:41:59:341',23,0.662537,-0.197693,0.118103,-0.712769,-1.526508,0.125654,-0.448635,1,-1
2643,'2017/04/09 16:41:59:356',23,0.662842,-0.197632,0.118103,-0.712463,-1.527275,0.125372,-0.448585,1,-1
2644,'2017/04/09 16:41:59:379',23,0.662903,-0.197571,0.118103,-0.712463,-1.527393,0.12527,-0.448512,1,-1
2645,'2017/04/09 16:41:59:401',23,0.663208,-0.197632,0.117798,-0.712219,-1.528256,0.125595,-0.448206,1,-1
2646,'2017/04/09 16:41:59:417',23,0.663391,-0.197632,0.117371,-0.712097,-1.528743,0.126075,-0.447605,1,-1
2647,'2017/04/09 16:41:59:438',23,0.66333,-0.19751,0.117004,-0.71228,-1.528482,0.126476,-0.446884,1,-1
2648,'2017/04/09 16:41:59:461',23,0.663208,-0.19751,0.116577,-0.712463,-1.528151,0.127149,-0.446239,1,-1
2649,'2017/04/09 16:41:59:476',23,0.663269,-0.197449,0.116028,-0.712463,-1.52826,0.127782,-0.445343,1,-1
2650,'2017/04/09 16:41:59:499',23,0.663086,-0.197327,0.115723,-0.712769,-1.527673,0.128179,-0.444695,1,-1
